victim_age,sum
0,1010
1,803
2,491
3,307
4,206
5,149
6,139
7,102
8,101
9,80
10,108
11,77
12,103
13,152
14,240
15,484
16,888
17,1365
18,2056
19,2526
20,2618
21,2711
22,2785
23,2642
24,2504
25,2429
26,2295
27,2102
28,2039
29,2017
30,1978
31,1707
32,1728
33,1611
34,1562
35,1442
36,1338
37,1197
38,1210
39,1186
40,1151
41,1069
42,1064
43,1047
44,924
45,974
46,980
47,961
48,914
49,932
50,937
51,879
52,805
53,782
54,718
55,651
56,651
57,586
58,548
59,556
60,424
61,411
62,387
63,329
64,308
65,284
66,247
67,264
68,211
69,208
70,190
71,185
72,123
73,155
74,129
75,126
76,126
77,107
78,133
79,120
80,117
81,90
82,87
83,102
84,96
85,74
86,63
87,67
88,60
89,39
90,43
91,33
92,21
93,18
94,16
95,11
96,7
97,8
98,6
99+,397
